scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,179.21865844726562,221.56533813476562,1.0,185.5115966796875,244.29234313964844,1.0,152.3759307861328,243.92489624023438,1.0,137.53921508789062,246.90570068359375,1.0,201.64537048339844,239.13095092773438,1.0,213.5560760498047,239.9857940673828,1.0,188.8560028076172,260.05377197265625,1.0,156.78472900390625,281.92913818359375,0.9999979734420776,214.02401733398438,275.1903076171875,1.0
1,179.24472045898438,221.76296997070312,1.0,184.8612060546875,243.88668823242188,1.0,152.5262451171875,243.9354248046875,1.0,137.3709259033203,247.00982666015625,1.0,201.5681915283203,239.07777404785156,1.0,213.51007080078125,239.62315368652344,1.0,188.61331176757812,259.6682434082031,1.0,156.6401824951172,281.5265197753906,0.9999995231628418,214.2277069091797,275.1967468261719,1.0
2,179.28953552246094,221.8191375732422,1.0,184.77784729003906,243.7827911376953,1.0,152.60533142089844,243.8694305419922,1.0,137.3647918701172,247.02113342285156,1.0,201.65829467773438,239.12867736816406,1.0,213.5146484375,239.65821838378906,1.0,188.57717895507812,259.5890808105469,1.0,156.6273193359375,281.51983642578125,0.9999995231628418,213.68385314941406,275.3675537109375,1.0
3,179.25360107421875,221.78585815429688,1.0,184.77639770507812,243.7915496826172,1.0,152.5230712890625,243.89744567871094,1.0,137.36019897460938,246.99932861328125,1.0,201.62222290039062,239.118896484375,1.0,213.5236358642578,239.6635284423828,1.0,188.58065795898438,259.5730895996094,1.0,156.67005920410156,281.5360107421875,0.9999995231628418,213.67620849609375,275.4041442871094,1.0
4,179.27813720703125,221.82620239257812,1.0,184.76004028320312,243.77857971191406,1.0,152.51229858398438,243.94122314453125,1.0,137.362548828125,247.02816772460938,1.0,201.62379455566406,239.1417999267578,1.0,213.5196075439453,239.66053771972656,1.0,188.57106018066406,259.5451965332031,1.0,156.6844024658203,281.508544921875,0.9999995231628418,213.68936157226562,275.40460205078125,1.0
5,179.37220764160156,221.8210906982422,1.0,184.80308532714844,243.88619995117188,1.0,152.42868041992188,243.89599609375,1.0,137.41954040527344,247.00241088867188,1.0,201.55934143066406,239.08816528320312,1.0,213.5440216064453,239.68653869628906,1.0,188.649658203125,259.40850830078125,1.0,156.4563751220703,281.6747131347656,0.9999995231628418,213.68295288085938,275.409912109375,1.0
6,179.42332458496094,221.60833740234375,1.0,185.30084228515625,244.06178283691406,1.0,152.45443725585938,243.77911376953125,1.0,137.5122833251953,247.02389526367188,1.0,201.54580688476562,239.0915069580078,1.0,213.47222900390625,239.7198944091797,1.0,188.6416473388672,259.4197998046875,1.0,156.48817443847656,281.736328125,0.9999994039535522,214.14028930664062,275.1744689941406,1.0
7,179.42254638671875,221.564208984375,1.0,185.278564453125,244.034912109375,1.0,152.4388427734375,243.77993774414062,1.0,137.48243713378906,247.04417419433594,1.0,201.54405212402344,239.0741729736328,1.0,213.4607696533203,239.70184326171875,1.0,188.63485717773438,259.4007873535156,1.0,156.5115509033203,281.742431640625,0.9999994039535522,214.1412811279297,275.1677551269531,1.0
8,179.44244384765625,221.5053253173828,1.0,185.2937469482422,244.06275939941406,1.0,152.43533325195312,243.78054809570312,1.0,137.5130615234375,247.07447814941406,1.0,201.5314483642578,239.07456970214844,1.0,213.46287536621094,239.68324279785156,1.0,188.65484619140625,259.4129943847656,1.0,156.5238037109375,281.76495361328125,0.9999994039535522,214.14547729492188,275.1824951171875,1.0
9,179.29420471191406,221.4977569580078,1.0,184.8805389404297,243.97120666503906,1.0,152.46826171875,243.77049255371094,1.0,137.6090087890625,247.0899200439453,1.0,201.53404235839844,239.07716369628906,1.0,213.423095703125,239.6305389404297,1.0,188.7421417236328,259.389404296875,1.0,156.92214965820312,281.5985412597656,0.999998927116394,213.73301696777344,275.21026611328125,1.0
10,179.29531860351562,221.5101318359375,1.0,184.89630126953125,243.904052734375,1.0,152.4745330810547,243.7344970703125,1.0,137.5144500732422,247.1378936767578,1.0,201.61956787109375,239.04702758789062,1.0,213.4803466796875,239.66473388671875,1.0,188.74581909179688,259.3701171875,1.0,156.92459106445312,281.60443115234375,0.9999986886978149,213.8083953857422,275.22625732421875,1.0
